days.post.hatch,days.since.inject,0.1,2,para,uninj
12,0,2,,1.06,1.95
13,1,3.32,,1.58,3.49
14,2,4.12,3.67,2.59,5.35
15,3,4.71,4.85,3.71,6.89
16,4,5.5,6.09,4.98,7.12
17,5,6.6,8.07,6.35,6.09
18,6,7.47,9.24,6.94,
19,7,8,10,7.09,
20,8,8.55,10.84,8.31,
21,9,8.71,11.5,8.81,
22,10,8.88,12.2,8.98,
23,11,9,12.7,,
24,12,9.03,12.9,,
25,13,8.66,12.435,,
26,14,9.09,12.29,,
27,15,9.07,12.41,,
28,16,,12.38,,
